text,year,month,day
 you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,2021,7,20
cooking with my dad  having lots of fun in the kitchen together,2022,8,10
Bouncing Rush makes me feel nauseous,2022,8,10
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,2022,3,20
playing singstar without my fave duetter,2019,5,5
"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",2021,3,15
" That`s just weird... :\  Oh, and what was it you were drawing for me?",2021,8,2
Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,2021,6,10
"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",2018,7,15
"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",2019,11,2
"My Street Fighter IV skills are lacking, can`t beat Seth on easy.",2018,12,5
 FIL 461 with cool people like me,2023,1,15
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,2023,1,18
 i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,2016,11,28
my son got stung by a bug for the first time  his little finger is slightly swollen.,2021,10,2
 it was hours ago i came in.... and it`s only now i realised when i went to buy something online,2022,11,28
 oh just referring to our lil exchange on LJ with regards to twitter archive postings.,2022,7,5
Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,2016,9,28
Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,2021,9,15
Here`s a brief preview:   OMG James is creepy in that role! I`m scared of him,2022,2,28
I`m missing crab legs and attending my going away instead!,2023,1,16
Hicks are mean!,2018,11,7
"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad",2017,3,20
"back soon, need to run to the shops and cut the grass",2023,3,22
I`m up. I have a plan to transform my bedroom today. Random.,2018,7,10
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",2021,11,30
 thats another sponsor,2021,11,30
" And most of us are going to be stuck in an office, some without windows",2023,1,22
 No it`s not sad. Should make you proud,2023,1,24
"   Sorry, we`ll try to keep it down.",2023,1,27
is home alone.. Doing hw,2023,3,3
"According to , a quarter of families under six live in poverty.",2015,10,18
the plan to not spend money is not going well,2021,2,25
uploading all my bamboozle pictures of facebook,2022,5,30
 congratulations ! you guys finish a month early than we do. booo,2018,8,10
" actually, I wish I was back in Tahoe.  I miss it there.",2019,3,25
